id,name,description,field_1,field_2,field_3,field_4,field_5,field_6,value,field_8,field_9,icon,detail_icon
901204,木雕小摆件,民间木雕人物，有年头无稀缺，刀法简拙,1,1,2,1,2,2,476,0,0,icon_cp_gd_02_004,icon_dj_cp_gd_02_004
901205,民俗小银饰,民俗银饰，錾刻花纹，银质光亮,1,1,2,1,2,2,1004,0,0,icon_cp_gd_02_005,icon_dj_cp_gd_02_005
901206,木梭子,织布木梭，梭身磨光，老式手工纺织遗物,1,1,2,2,1,2,451,0,0,icon_cp_gd_02_006,icon_dj_cp_gd_02_006
901207,竹节笔,天然竹根毛笔，文房常物，朴素实用,1,1,2,1,1,1,266,0,0,icon_cp_gd_02_007,icon_dj_cp_gd_02_007
901208,玛瑙棋,玛瑙棋子，质地浑浊，打磨粗糙,1,1,2,1,1,1,294,0,0,icon_cp_gd_02_008,icon_dj_cp_gd_02_008
901209,锡制酒壶,锡酒壶，民间常见旧酒器,1,1,2,1,1,1,342,0,0,icon_cp_gd_02_009,icon_dj_cp_gd_02_009
901210,陶埙,陶埙，葫芦造型，多孔，吹孔已有磨损,1,1,2,1,1,1,358,0,0,icon_cp_gd_02_010,icon_dj_cp_gd_02_010
901301,檀香折扇,檀木折扇，骨薄匀称，闭合时有幽香,1,1,3,2,2,4,2246,0,0,icon_cp_gd_03_001,icon_dj_cp_gd_03_001
901302,青花小杯,清青花小杯，发色灰蓝，绘莲花小品,1,1,3,1,1,1,970,0,0,icon_cp_gd_03_002,icon_dj_cp_gd_03_002
901303,瓷板画小件,粉彩瓷板画，绘牡丹小品，镶木框可立,1,1,3,3,2,6,3529,0,0,icon_cp_gd_03_003,icon_dj_cp_gd_03_003
901304,红木小件,红木小雕件，材质上佳，打磨光滑,1,1,3,2,1,2,3011,0,0,icon_cp_gd_03_004,icon_dj_cp_gd_03_004
901305,清代小银壶,清银质小壶，锤目纹饰面，壶嘴线条流畅,1,1,3,2,2,4,3107,0,0,icon_cp_gd_03_005,icon_dj_cp_gd_03_005
901306,掐丝小摆件,景泰蓝小摆件，掐丝勾整，五彩花卉纹饰,1,1,3,1,2,2,1475,0,0,icon_cp_gd_03_006,icon_dj_cp_gd_03_006
901307,石狮子,镇宅石狮，蹲坐粗雕，威严古朴,1,1,3,4,4,16,12810,0,0,icon_cp_gd_03_007,icon_dj_cp_gd_03_007
901308,骨笛,兽骨多孔笛，音色苍凉，吹口已有裂,1,1,3,1,2,2,1782,0,0,icon_cp_gd_03_008,icon_dj_cp_gd_03_008
901309,琉璃盏,手工琉璃盏，色彩斑斓，透光流光溢彩,1,1,3,2,2,4,2794,0,0,icon_cp_gd_03_009,icon_dj_cp_gd_03_009
901310,银烛台,银烛台，錾刻纹饰，民间实用照明器,1,1,3,2,3,6,3145,0,0,icon_cp_gd_03_010,icon_dj_cp_gd_03_010
901311,银制酒壶,民国银酒壶，刻团花纹，包浆自然精细,1,1,3,1,1,1,845,0,0,icon_cp_gd_03_011,icon_dj_cp_gd_03_011
901401,雍正青花赏瓶,雍正官窑青花，发色翠蓝胎轻薄，宫廷陈设器,1,1,4,3,3,9,33150,0,0,icon_cp_gd_04_001,icon_dj_cp_gd_04_001
901402,汉白玉石狮,汉代石狮蹲坐镇宅，汉白玉质，风化无损真品相,1,1,4,2,2,4,8408,0,0,icon_cp_gd_04_002,icon_dj_cp_gd_04_002
901403,建窑兔毫盏,宋建窑兔毫盏，斗茶名器，黑釉银毫定胜负,1,1,4,2,2,4,10050,0,0,icon_cp_gd_04_003,icon_dj_cp_gd_04_003
901404,海兽葡萄镜,唐青铜海兽葡萄镜，高浮雕工艺，传世极少上过脸,1,1,4,5,2,10,14280,0,0,icon_cp_gd_04_004,icon_dj_cp_gd_04_004
901405,和田玉瑞兽,和田白玉圆雕瑞兽，留桂花黄皮，古人随身护符,1,1,4,2,2,4,9231,0,0,icon_cp_gd_04_005,icon_dj_cp_gd_04_005
901406,端石老坑砚,端砚老坑石，呵气可成墨，文房传家之物,1,1,4,2,2,4,18640,0,0,icon_cp_gd_04_006,icon_dj_cp_gd_04_006
901407,实木佛龛,实木精雕佛龛，歇山顶微缩庙宇，匠心数月之功,1,1,4,1,1,1,3662,0,0,icon_cp_gd_04_007,icon_dj_cp_gd_04_007
901408,景泰蓝小炉,明景泰蓝小香炉，铜胎掐丝珐琅，麻雀虽小五脏俱全,1,1,4,1,1,1,3461,0,0,icon_cp_gd_04_008,icon_dj_cp_gd_04_008
901409,古旧围屏,六扇硬木围屏，绢本绘山水，传家三代的老家具,1,1,4,2,3,6,13330,0,0,icon_cp_gd_04_009,icon_dj_cp_gd_04_009
901410,北魏佛造像,北魏砂岩佛造像，褒衣博带，笑容越自然越贵,1,1,4,2,2,4,9688,0,0,icon_cp_gd_04_010,icon_dj_cp_gd_04_010
901501,错金铜博山炉,西汉错金铜博山炉，炉盖铸成层叠仙山，点燃香料烟气从山间溢出如云雾,1,1,5,3,2,6,45500,19,5,icon_cp_gd_05_001,icon_dj_cp_gd_05_001
901502,商代青铜鼎,商青铜礼器，双立耳三柱足，问鼎中原的源头,1,1,5,2,3,6,50880,21,6,icon_cp_gd_05_002,icon_dj_cp_gd_05_002
901503,永乐青花罐,永乐青花铁锈斑深入胎骨，后世仿品浮于面，一摸便知,1,1,5,3,3,9,130000,54,14,icon_cp_gd_05_003,icon_dj_cp_gd_05_003
901504,龙泉青瓷梅瓶,龙泉粉青釉梅瓶，宋瓷巅峰色，青如天明如镜,1,1,5,3,3,9,75320,31,8,icon_cp_gd_05_004,icon_dj_cp_gd_05_004
901505,乾隆青花赏瓶,乾隆官窑青花，有瑕疵当场砸碎，传世件件完美,1,1,5,1,3,3,27670,12,3,icon_cp_gd_05_005,icon_dj_cp_gd_05_005
901506,曾侯乙编钟,战国青铜编钟，五度音域齐备，出土仍能奏今曲,1,1,5,6,1,6,102700,43,11,icon_cp_gd_05_006,icon_dj_cp_gd_05_006
901507,白玉如意杯,整块和田白玉雕琢，清宫选料极严，次品不入宫,1,1,5,1,1,1,11960,5,1,icon_cp_gd_05_007,icon_dj_cp_gd_05_007
901508,唐三彩马,唐三彩釉马，黄绿白三色写实，随葬明器今成拍场宠儿,1,1,5,3,3,9,62450,26,7,icon_cp_gd_05_008,icon_dj_cp_gd_05_008
901509,汝窑天青盏,汝窑天青釉，开片如冰裂，存世不足百件谜题未解,1,1,5,1,1,1,11830,5,1,icon_cp_gd_05_009,icon_dj_cp_gd_05_009
901510,岭南青铜鼓,岭南青铜鼓，太阳纹鼓面羽人舞纹，集权集兵的战神之音,1,1,5,2,2,4,73110,30,8,icon_cp_gd_05_010,icon_dj_cp_gd_05_010
901511,沪上老座钟,老上海红木座钟，德法机芯配中式外壳，外滩百年钟声,1,1,5,2,3,6,46970,20,5,icon_cp_gd_05_011,icon_dj_cp_gd_05_011
901512,良渚玉笛,良渚玉笛，五千年前透闪石磨制，祭天礼器或无解的乐声,1,1,5,1,4,4,38390,16,4,icon_cp_gd_05_012,icon_dj_cp_gd_05_012
901601,青铜大立人像,三星堆青铜大立人像，商代晚期祭祀重器，通高两米六，全世界同期最高的青铜人像,1,1,6,3,3,9,637300,266,70,icon_cp_gd_06_001,icon_dj_cp_gd_06_001
901602,传国玉玺,和氏璧所刻受命于天，历代帝王正统之凭，真品下落千年未解,1,1,6,2,2,4,1883000,785,210,icon_cp_gd_06_002,icon_dj_cp_gd_06_002
901603,越王勾践剑,越王勾践青铜剑，菱形暗纹防锈未解，出土利可断纸传了两千年,1,1,6,4,2,8,1280000,533,140,icon_cp_gd_06_003,icon_dj_cp_gd_06_003
901604,南越王铁剑,西汉南越铁剑，岭南冶铁技术与中原同步，铁器比青铜更难留存,1,1,6,4,2,8,333400,139,37,icon_cp_gd_06_004,icon_dj_cp_gd_06_004
901605,南宋官窑瓶,南宋杭州官窑，粉青釉开片如冰裂，次品当场打碎深埋不出宫,1,1,6,2,2,4,520900,217,57,icon_cp_gd_06_005,icon_dj_cp_gd_06_005
901606,民国粉彩大瓶,民国粉彩大瓶绘人物故事，瓷画分离分工细致，乱世未乱瓷艺,1,1,6,4,4,16,475600,198,52,icon_cp_gd_06_006,icon_dj_cp_gd_06_006
901607,翡翠观音,冰种飘花翡翠观音，海外回流品，每次归来身价翻倍,1,1,6,1,3,3,157500,66,17,icon_cp_gd_06_007,icon_dj_cp_gd_06_007
901608,九龙玉杯,康熙御用白玉九龙杯，随葬景陵后被盗，香港传闻中的传奇玉杯,1,1,6,2,2,4,213900,89,24,icon_cp_gd_06_008,icon_dj_cp_gd_06_008
901609,金缕玉衣,汉代金缕玉衣，数百片玉石以金丝缀连成人形，王侯最高级别葬服,1,1,6,2,2,4,173600,72,19,icon_cp_gd_06_009,icon_dj_cp_gd_06_009
901610,金佛塔,鎏金铜佛塔，塔身分层开龛供佛，佛教七宝之一,1,1,6,2,2,4,157200,66,17,icon_cp_gd_06_010,icon_dj_cp_gd_06_010
901611,曜变天目盏,宋建窑曜变天目，釉面流转星云般的蓝紫光，全球不足十件日本三件为国宝,1,1,6,1,1,1,129000,54,14,icon_cp_gd_06_011,icon_dj_cp_gd_06_011
902101,镀金铁链,铁皮镀金链饰，镀层脱落露底铁，廉价饰品级,1,2,1,3,3,9,657,0,0,icon_cp_zb_01_001,icon_dj_cp_zb_01_001
902102,玻璃仿珠,玻璃制仿珍珠，表面漆层，放大镜下见气泡,1,2,1,2,2,4,362,0,0,icon_cp_zb_01_002,icon_dj_cp_zb_01_002
902103,碎银粒,碎银料氧化发黑，形态不规则，含银量低,1,2,1,2,2,4,396,0,0,icon_cp_zb_01_003,icon_dj_cp_zb_01_003
902104,铜镀银扣,铜底镀银纽扣，镀层薄花纹模糊,1,2,1,2,2,4,731,0,0,icon_cp_zb_01_004,icon_dj_cp_zb_01_004
902105,普通玉碎料,杂玉碎料质地粗糙，颜色混杂无雕琢价值,1,2,1,1,2,2,258,0,0,icon_cp_zb_01_005,icon_dj_cp_zb_01_005
902106,贝壳饰片,天然贝壳打磨成片，纹理平淡有细微裂纹,1,2,1,1,1,1,136,0,0,icon_cp_zb_01_006,icon_dj_cp_zb_01_006
902107,仿玉,塑料仿玉石偏轻，无天然玉冰凉触感,1,2,1,1,1,1,291,0,0,icon_cp_zb_01_007,icon_dj_cp_zb_01_007
902108,仿玻璃,玻璃冒充钻石，折射率低火彩不明显,1,2,1,1,1,1,146,0,0,icon_cp_zb_01_008,icon_dj_cp_zb_01_008
902109,合金珍珠,合金底座镶塑料珠，珠光层易脱落,1,2,1,1,1,1,120,0,0,icon_cp_zb_01_009,icon_dj_cp_zb_01_009
902110,树脂仿翡翠,树脂注色仿翡翠，紫外灯下荧光反应明显,1,2,1,1,1,1,283,0,0,icon_cp_zb_01_010,icon_dj_cp_zb_01_010
902301,珍珠项链,淡水珍珠项链，珠粒饱满，光泽柔和,1,2,3,3,3,9,5331,0,0,icon_cp_zb_03_001,icon_dj_cp_zb_03_001
902302,翡翠小牌,糯种翡翠方牌，底色偏灰绿质地中等,1,2,3,2,2,4,3427,0,0,icon_cp_zb_03_002,icon_dj_cp_zb_03_002
902303,银戒指,925银戒指，简约光面，质感细腻,1,2,3,2,2,4,5598,0,0,icon_cp_zb_03_003,icon_dj_cp_zb_03_003
902304,红珊瑚枝,浅海珊瑚枝鲜红色，表面有天然细孔,1,2,3,2,2,4,3113,0,0,icon_cp_zb_03_004,icon_dj_cp_zb_03_004
902305,贝壳仿珠,蓝色刻面仿宝石，通透闪亮，光泽偏塑料,1,2,3,2,2,4,2799,0,0,icon_cp_zb_03_005,icon_dj_cp_zb_03_005
902306,普通水晶,工业级白水晶，内含绵絮状包裹体,1,2,3,1,1,1,956,0,0,icon_cp_zb_03_006,icon_dj_cp_zb_03_006
902307,石榴石,酒红色石榴石切割规整，日常饰品级,1,2,3,1,1,1,2142,0,0,icon_cp_zb_03_007,icon_dj_cp_zb_03_007
902308,月光石,蓝色月光石朦胧光晕，半宝石入门之选,1,2,3,1,1,1,914,0,0,icon_cp_zb_03_008,icon_dj_cp_zb_03_008
902309,水晶小坠,绿色东陵玉原石吊坠，砂金效应明显,1,2,3,1,1,1,1082,0,0,icon_cp_zb_03_009,icon_dj_cp_zb_03_009
902310,人造非洲之心,心形刻面蓝色仿宝石，通透闪亮,1,2,3,1,1,1,1029,0,0,icon_cp_zb_03_010,icon_dj_cp_zb_03_010
902401,猫眼石戒,金绿猫眼戒，眼线锐利，转动时光带跟随，五大名宝之一,1,2,4,2,2,4,10500,0,0,icon_cp_zb_04_001,icon_dj_cp_zb_04_001
902402,红宝石戒,鸽血红红宝石戒面，颜色浓郁，缅甸抹谷矿区顶级品,1,2,4,2,2,4,10100,0,0,icon_cp_zb_04_002,icon_dj_cp_zb_04_002
902403,翡翠平安扣,冰糯种翡翠平安扣，水头足飘绿花，最简造型寓意圆满,1,2,4,2,2,4,8597,0,0,icon_cp_zb_04_003,icon_dj_cp_zb_04_003
902404,琥珀,蜜黄色琥珀含微小气泡，千万年松脂化石常含远古内含物,1,2,4,2,2,4,8297,0,0,icon_cp_zb_04_004,icon_dj_cp_zb_04_004
902405,海水珍珠坠,海水珍珠吊坠，正圆强光珠层厚，唯一无需切割打磨的宝石,1,2,4,2,2,4,19190,0,0,icon_cp_zb_04_005,icon_dj_cp_zb_04_005
902406,1克拉钻石,商业级1克拉圆钻H色VS2，57-58刻面实现光线全内反射,1,2,4,1,1,1,3859,0,0,icon_cp_zb_04_006,icon_dj_cp_zb_04_006
902407,金镶玉坠,金镶翡翠吊坠，18K金托嵌蛋面，软金包硬玉的工艺考验,1,2,4,4,2,8,18890,0,0,icon_cp_zb_04_007,icon_dj_cp_zb_04_007
902408,祖母绿小料,哥伦比亚祖母绿小料，翠绿浓郁含天然包裹体,1,2,4,1,1,1,4226,0,0,icon_cp_zb_04_008,icon_dj_cp_zb_04_008
902409,珍珠,淡水珍珠正圆强光，直径约8mm，蚌用身体包裹沙粒的产物,1,2,4,1,1,1,3675,0,0,icon_cp_zb_04_009,icon_dj_cp_zb_04_009
902410,蓝宝石吊坠,天然蓝宝石吊坠，切面工整，台面反光均匀。蓝调正，不偏紫不偏灰，入门彩宝里的稳选,1,2,4,1,1,1,7130,0,0,icon_cp_zb_04_010,icon_dj_cp_zb_04_010
902411,玛瑙珠串,南红玛瑙手串，色泽温润，颗颗均匀饱满。最入门的宝石串，谁上手谁都能戴,1,2,4,2,2,4,11200,0,0,icon_cp_zb_04_011,icon_dj_cp_zb_04_011
902501,西洋钻戒,西洋古董钻戒老欧洲切割，玫瑰金戒托有工匠印记，火彩柔和,1,2,5,1,1,1,16460,7,2,icon_cp_zb_05_001,icon_dj_cp_zb_05_001
902502,南洋金珠项链,南洋金珠项链浓金色，珠径12-15mm光泽如镜，每颗不可复制,1,2,5,1,3,3,31550,13,3,icon_cp_zb_05_002,icon_dj_cp_zb_05_002
902503,缅甸鸽血红项链,缅甸鸽血红宝石项链，顶级有色宝石不靠品牌靠颜色说话,1,2,5,1,3,3,29940,12,3,icon_cp_zb_05_003,icon_dj_cp_zb_05_003
902504,翡翠手镯,清代冰种翡翠手镯清透带阳绿，素面不雕以玉质取胜,1,2,5,2,2,4,79970,33,9,icon_cp_zb_05_004,icon_dj_cp_zb_05_004
902505,慈禧翡翠西瓜,慈禧随葬翡翠西瓜，绿皮红瓤巧雕，清东陵被盗后成传奇迷案,1,2,5,1,1,1,14410,6,2,icon_cp_zb_05_005,icon_dj_cp_zb_05_005
902506,狗头金,天然狗头金块形如犬首，亿万年生长的纯金签名版远超精炼金,1,2,5,1,1,1,17490,7,2,icon_cp_zb_05_006,icon_dj_cp_zb_05_006
902507,宫廷东珠坠,清代宫廷东珠坠大如拇指，东北淡水珍珠皇帝独享,1,2,5,1,1,1,13670,6,2,icon_cp_zb_05_007,icon_dj_cp_zb_05_007
902508,金绿猫眼,斯里兰卡金绿猫眼蜜黄色，烛光下眼线如猫瞳收放,1,2,5,1,1,1,13080,5,1,icon_cp_zb_05_008,icon_dj_cp_zb_05_008
902509,南海珍珠串,南海天然海水珍珠串珠径匀称，一颗海水珠需5-8年形成,1,2,5,1,1,1,30870,13,3,icon_cp_zb_05_009,icon_dj_cp_zb_05_009
902601,帝王绿手镯,帝王绿玻璃种翡翠手镯，颜色浓正阳匀，港澳拍场封面级的翡翠巅峰,1,2,6,1,1,1,67620,28,7,icon_cp_zb_06_001,icon_dj_cp_zb_06_001
902602,慈禧夜明珠,慈禧随葬夜明珠传说夜间发光，清东陵被盗后下落成谜,1,2,6,2,2,4,719700,300,79,icon_cp_zb_06_002,icon_dj_cp_zb_06_002
902603,和氏璧,和氏璧中国玉文化第一符号，卞和献玉完璧归赵，后刻为传国玉玺下落不明,1,2,6,1,1,1,2646000,1103,290,icon_cp_zb_06_003,icon_dj_cp_zb_06_003
902604,鸽血红宝石,缅甸鸽血红宝石颜色如鸽血，紫外灯下红色荧光如锁住了一团火焰,1,2,6,2,2,4,191900,80,21,icon_cp_zb_06_004,icon_dj_cp_zb_06_004
902605,非洲之心,库里南钻石切割品，3106克拉原石为迄今最大宝石级钻石,1,2,6,1,1,1,13145200,5477,1400,icon_cp_zb_06_005,icon_dj_cp_zb_06_005
902606,祖母绿宝石,哥伦比亚祖母绿颜色纯正浓郁，天然包裹体被称为祖母绿的花园,1,2,6,1,1,1,84530,35,9,icon_cp_zb_06_006,icon_dj_cp_zb_06_006
902607,粉红之星钻石,粉红之星，59.6克拉艳彩粉钻，拍卖史上最高成交价珠宝,1,2,6,1,1,1,396900,165,44,icon_cp_zb_06_007,icon_dj_cp_zb_06_007
902608,非洲之心碎料,库里南钻石切割碎料，天然钻石原石保留原始晶面,1,2,6,1,1,1,66150,28,7,icon_cp_zb_06_008,icon_dj_cp_zb_06_008
902609,红宝石王冠,红宝石王冠铂金底座花环造型，王室旧藏买的是当年戴在哪位公主头上,1,2,6,3,3,9,422500,176,46,icon_cp_zb_06_009,icon_dj_cp_zb_06_009
902610,南海珍珠王,南海天然珍珠王珠径超20mm，极稀有规格南海暖流养出的巨珠,1,2,6,1,1,1,74970,31,8,icon_cp_zb_06_010,icon_dj_cp_zb_06_010
902611,冰种飘花翡翠,高冰种飘花翡翠水头十足，飘花如墨入清水，绿在冰中凝固成画,1,2,6,1,1,1,63950,27,7,icon_cp_zb_06_011,icon_dj_cp_zb_06_011
902612,乾隆东珠朝珠,乾隆御用东珠朝珠108颗，只有皇帝皇后太上皇三人能用,1,2,6,1,2,2,123500,51,14,icon_cp_zb_06_012,icon_dj_cp_zb_06_012
902613,香江翡翠王,帝王绿玻璃种翡翠吊坠，香港拍场槌声即破纪录的拍卖传奇,1,2,6,1,2,2,237600,99,26,icon_cp_zb_06_013,icon_dj_cp_zb_06_013
902614,火焰欧泊,澳洲闪电岭黑欧泊五色变彩，内部二氧化硅球体衍射出的独有指纹,1,2,6,1,1,1,79380,33,9,icon_cp_zb_06_014,icon_dj_cp_zb_06_014
902615,大溪地黑珍珠,大溪地黑珍珠超15mm，表带孔雀绿晕彩的深海暗光,1,2,6,1,1,1,66890,28,7,icon_cp_zb_06_015,icon_dj_cp_zb_06_015
903101,仿皮钱包,仿皮钱包边角起皮拉链卡顿，街边日用品归宿,1,3,1,2,2,4,354,0,0,icon_cp_sp_01_001,icon_dj_cp_sp_01_001
903102,塑料发卡,彩色塑料发卡批量生产，随处可见的日用饰品,1,3,1,1,1,1,140,0,0,icon_cp_sp_01_002,icon_dj_cp_sp_01_002
903103,旧丝巾,普通聚酯纤维丝巾，粉色三角折叠，柜子深处的压箱底,1,3,1,1,2,2,238,0,0,icon_cp_sp_01_003,icon_dj_cp_sp_01_003
903104,旧金属扣,生锈合金拉链扣，五金件里最常见的一枚,1,3,1,1,1,1,245,0,0,icon_cp_sp_01_004,icon_dj_cp_sp_01_004
903105,普通墨镜,塑料镜框防晒墨镜装饰大于功能，地摊级日用,1,3,1,3,1,3,271,0,0,icon_cp_sp_01_005,icon_dj_cp_sp_01_005
903106,玩具美甲,玩具美甲贴片儿童水洗卸除，纯趣味性物件,1,3,1,1,1,1,126,0,0,icon_cp_sp_01_006,icon_dj_cp_sp_01_006
903107,钥匙挂坠,金属钥匙挂坠造型普通，实用为主无收藏溢价,1,3,1,1,1,1,110,0,0,icon_cp_sp_01_007,icon_dj_cp_sp_01_007
903108,应援棒,演唱会LED应援棒，粉丝文化的基础配件,1,3,1,2,1,2,234,0,0,icon_cp_sp_01_008,icon_dj_cp_sp_01_008
903109,卡贴,动漫角色卡贴防水覆膜，贴在手机壳上的装饰,1,3,1,1,1,1,101,0,0,icon_cp_sp_01_009,icon_dj_cp_sp_01_009
903110,丝绸手帕,丝绸织物手工刺绣边角，展开可作方巾或装饰布,1,3,1,4,3,12,1416,0,0,icon_cp_sp_01_010,icon_dj_cp_sp_01_010
903201,老式皮包,老式真皮手提包皮质发硬五金氧化，基础通勤日用,1,3,2,2,3,6,910,0,0,icon_cp_sp_02_001,icon_dj_cp_sp_02_001
903202,木质梳妆盒,实木小梳妆盒内置镜子，收纳日用首饰之物,1,3,2,1,1,1,309,0,0,icon_cp_sp_02_002,icon_dj_cp_sp_02_002
903203,印花T恤,印花纯棉T恤，基础款多色可选，日常穿着无溢价,1,3,2,2,2,4,1785,0,0,icon_cp_sp_02_003,icon_dj_cp_sp_02_003
903204,帆布背包,帆布单肩背包简约耐用，学生通勤款容量适中,1,3,2,2,2,4,935,0,0,icon_cp_sp_02_004,icon_dj_cp_sp_02_004
903205,铜质打火机,铜质金属打火机民用基础款，翻盖点火声响亮,1,3,2,1,1,1,375,0,0,icon_cp_sp_02_005,icon_dj_cp_sp_02_005
903206,时尚领带,条纹印花领带涤纶材质，日常通勤搭配非手工,1,3,2,1,3,3,773,0,0,icon_cp_sp_02_006,icon_dj_cp_sp_02_006
903207,时尚杂志,当季时尚杂志封面精美，内含海报附赠品牌广告,1,3,2,2,2,4,748,0,0,icon_cp_sp_02_007,icon_dj_cp_sp_02_007
903208,潮流手机壳,潮流IP联名手机壳硅胶材质，图案鲜艳防摔保护,1,3,2,1,1,1,322,0,0,icon_cp_sp_02_008,icon_dj_cp_sp_02_008
903209,亚克力钥匙扣,亚克力钥匙扣图案鲜艳，轻巧便携成本低廉,1,3,2,1,1,1,606,0,0,icon_cp_sp_02_009,icon_dj_cp_sp_02_009
903210,经典棒球帽,经典六片式棒球帽棉质面料，可调节百搭款,1,3,2,2,2,4,706,0,0,icon_cp_sp_02_010,icon_dj_cp_sp_02_010
903301,运动球鞋,限量联名运动球鞋品牌热门款，二级市场有溢价,1,3,3,1,1,1,750,0,0,icon_cp_sp_03_001,icon_dj_cp_sp_03_001
903302,银质烟盒,民国风格银质烟盒表面压花，翻盖内饰装饰纹,1,3,3,1,2,2,1290,0,0,icon_cp_sp_03_002,icon_dj_cp_sp_03_002
903303,复古手提箱,复古旅行箱皮质包裹黄铜锁扣，工艺完整,1,3,3,2,2,4,2423,0,0,icon_cp_sp_03_003,icon_dj_cp_sp_03_003
903304,羊绒围巾,纯羊绒围巾手感细腻保暖性好，基础轻奢质感,1,3,3,2,2,4,2091,0,0,icon_cp_sp_03_004,icon_dj_cp_sp_03_004
903305,古董钢笔,老式钢笔金属笔身配金尖，书写工具中入门收藏,1,3,3,1,1,1,1097,0,0,icon_cp_sp_03_005,icon_dj_cp_sp_03_005
903306,真皮腰带,头层牛皮腰带皮质厚实耐用，针扣设计百搭款,1,3,3,5,3,15,13430,0,0,icon_cp_sp_03_006,icon_dj_cp_sp_03_006
903307,公仔玩偶,毛绒公仔玩偶造型可爱填充饱满，送礼自留皆可,1,3,3,1,1,1,863,0,0,icon_cp_sp_03_007,icon_dj_cp_sp_03_007
903308,银制耳饰,925银制耳饰水滴钩式造型，日常佩戴,1,3,3,1,1,1,1950,0,0,icon_cp_sp_03_008,icon_dj_cp_sp_03_008
903309,水雾唇釉,水雾感唇釉国货美妆热门色号，玻璃管包装3ml,1,3,3,1,1,1,909,0,0,icon_cp_sp_03_009,icon_dj_cp_sp_03_009
903310,手工皮具箱,高端手工皮箱全皮包裹黄铜五金，衬绒隔层完整,1,3,3,2,3,6,2798,0,0,icon_cp_sp_03_010,icon_dj_cp_sp_03_010
903401,力航深潜旧表,力航经典金表，香槟色表盘配钻石时标，奢华质感十年只涨不跌,1,3,4,2,3,6,9674,0,0,icon_cp_sp_04_001,icon_dj_cp_sp_04_001
903402,卡纹三环戒指,卡纹三环金戒，1924年设计三色金自由转动,1,3,4,2,2,4,8836,0,0,icon_cp_sp_04_002,icon_dj_cp_sp_04_002
903403,复古机械表,1940年代怀改腕表镂空机芯，罗马数字时标，机芯刻着校正者1946南京,1,3,4,1,1,1,3314,0,0,icon_cp_sp_04_003,icon_dj_cp_sp_04_003
903404,绮藏旧纹丝巾,绮藏首款女士丝巾，用料精致，复古纹样设计,1,3,4,4,1,4,18030,0,0,icon_cp_sp_04_004,icon_dj_cp_sp_04_004
903405,香影双环耳饰,香影双环珍珠耳饰，人造珠光照样能戴出真品味才算本事,1,3,4,1,1,1,2723,0,0,icon_cp_sp_04_005,icon_dj_cp_sp_04_005
903406,纯银书写套装,纯银笔杆大理石墨水台套装，14K金尖笔尖只触碰纸的设计哲学,1,3,4,2,1,2,9975,0,0,icon_cp_sp_04_006,icon_dj_cp_sp_04_006
903407,限量手办,正版限定手办独立编号原盒未拆，原型师签名涂装精细,1,3,4,2,3,6,12540,0,0,icon_cp_sp_04_007,icon_dj_cp_sp_04_007
903408,传统潮服,交领宽袖配传统云纹。站着看是复古风，走起来是街头范,1,3,4,2,3,6,10510,0,0,icon_cp_sp_04_008,icon_dj_cp_sp_04_008
