藏品ID,名称,轮廓,价值,品质,品类,描述,图标资源ID
503613,暂无名称,1×1（1格）,99999,红品,奢品,阿巴阿巴,icon_cp_sp_06_013_hd
503614,暂无名称,1×1（1格）,99999,红品,奢品,阿巴阿巴,icon_cp_sp_06_014_hd
503615,暂无名称,1×1（1格）,99999,红品,奢品,阿巴阿巴,icon_cp_sp_06_015_hd
503616,暂无名称,1×1（1格）,99999,红品,奢品,阿巴阿巴,icon_cp_sp_06_016_hd
503617,暂无名称,1×1（1格）,99999,红品,奢品,阿巴阿巴,icon_cp_sp_06_017_hd
503618,名车引擎,3×3（9格）,280600,红品,奢品,一件待组装的名车引擎部件，金属结构精密，机芯纹理隐约可见--S1名车盛典专属,icon_cp_sp_06_001_mcbj
503620,名车车身,4×3（12格）,231800,红品,奢品,一件待组装的名车车身部件，外壳线条流畅，材质质感尚未完全显现--S1名车盛典专属,icon_cp_sp_06_003_mcbj
503621,名车轮胎,2×2（4格）,136800,红品,奢品,一件待组装的名车轮胎部件，纹路深浅交错，表面富有光泽--S1名车盛典专属,icon_cp_sp_06_004_mcbj
503622,名车转向,2×2（4格）,80250,红品,奢品,一件待组装的名车转向部件，结构小巧精密，机械接口清晰可见--S1名车盛典专属,icon_cp_sp_06_005_mcbj
503623,名车座椅,2×3（6格）,171100,红品,奢品,一件待组装的名车座椅部件，包覆材质细腻，轮廓设计沉稳雅致--S1名车盛典专属,icon_cp_sp_06_006_mcbj
503624,普通涂装喷漆,1×1（1格）,200000,红品,奢品,一罐普通涂装喷漆，用于获得涂装名车，使用后可获得基础款名车--S1名车盛典专属,icon_cp_sp_06_007_mcbj
503625,高级涂装喷漆,1×1（1格）,600000,红品,奢品,一罐高级涂装喷漆，用于获得涂装名车，使用后有概率获得涂装款名车--S1名车盛典专属,icon_cp_sp_06_008_mcbj
503626,幻彩封神车,3×2（6格）,36880000,红品,奢品,一辆幻彩封神车，车身流光变幻，造型凌厉夺目，S1名车盛典结算排行第1获得--S1名车盛典专属,icon_cp_sp_06_015_hd
503627,黄金卫冕者,3×2（6格）,26880000,红品,奢品,一辆黄金卫冕者，车身金色华贵，线条沉稳而充满力量，S1名车盛典结算排行前10获得--S1名车盛典专属,icon_cp_sp_06_014_hd
503628,零号起跑线,3×2（6格）,16880000,红品,奢品,一辆零号起跑线，车身设计简洁利落，充满蓄势待发的速度感，S1名车盛典结算排行前100获得--S1名车盛典专属,icon_cp_sp_06_013_hd
503629,宇航员·行者,2×3（6格）,1180000,红品,奢品,基础款，行者在低重力月面提着采样袋稳步前行，每一步都要防止扬起的月尘干扰装备--登月计划活动专属,icon_cp_sp_06_029_hd
503630,宇航员·采集员,2×3（6格）,1180000,红品,奢品,基础款，采集员用采样铲收集月壤并封入标本盒，细小颗粒封存着月球漫长的撞击历史--登月计划活动专属,icon_cp_sp_06_030_hd
503631,宇航员·摄影师,2×3（6格）,6880000,红品,奢品,进阶款，摄影师举起特制相机记录月面，强烈阳光与深邃阴影让每一次取景都需精确校准--登月计划活动专属,icon_cp_sp_06_031_hd
503632,宇航员·观测员,2×3（6格）,6880000,红品,奢品,进阶款，观测员手持观测仪追踪掠过天际的彗星，冰尘物质受太阳加热后形成明亮彗尾--登月计划活动专属,icon_cp_sp_06_032_hd
503633,宇航员·旗手,2×3（6格）,6880000,红品,奢品,进阶款，旗手将任务旗固定在月壤中，旗帜依靠横向支杆展开于近乎无风的月面--登月计划活动专属,icon_cp_sp_06_033_hd
503634,宇航员·启航者,2×3（6格）,26880000,红品,奢品,隐藏款，启航者迈出探索月面的关键一步，月壤足迹因缺少风雨侵蚀而能留存很久--登月计划活动专属,icon_cp_sp_06_034_hd
504601,赛事海报,3×4（12格）,324300,红品,字画,官方主题赛事海报，融合足球、各国旗帜与城市地标元素，勾勒出赛事激情,icon_cp_zh_06_001_hd
504602,暂无名称,1×1（1格）,99999,红品,字画,阿巴阿巴,icon_cp_zh_06_002_hd
504603,暂无名称,1×1（1格）,99999,红品,字画,阿巴阿巴,icon_cp_zh_06_003_hd
504604,暂无名称,1×1（1格）,99999,红品,字画,阿巴阿巴,icon_cp_zh_06_004_hd
504605,暂无名称,1×1（1格）,99999,红品,字画,阿巴阿巴,icon_cp_zh_06_005_hd
504606,暂无名称,1×1（1格）,99999,红品,字画,阿巴阿巴,icon_cp_zh_06_006_hd
504607,彗星观测图册,3×2（6格）,188000,红品,字画,哈雷彗星观测图册，收录星轨图与历次回归记录--登月计划活动专属,icon_cp_zh_06_007_hd
505601,青皮料原石,2×2（4格）,64600,红品,化石,一块尚待切解的青皮料原石，表面覆有青色皮壳，内里质地尚未可知--化石周活动专属,icon_cp_hs_06_001_hd
505602,黄沙皮原石,2×2（4格）,108500,红品,化石,一块尚待切解的黄沙皮原石，外层呈黄沙色皮壳，内里质地尚未可知--化石周活动专属,icon_cp_hs_06_002_hd
505603,色带料原石,2×2（4格）,176400,红品,化石,一块尚待切解的色带料原石，表面带有自然色纹，纹带交错隐现--化石周活动专属,icon_cp_hs_06_003_hd
505604,高冰种原石,2×2（4格）,242900,红品,化石,一块尚待切解的高冰种原石，质地通透，内部光泽若隐若现--化石周活动专属,icon_cp_hs_06_004_hd
505605,帝王绿原石,2×2（4格）,609700,红品,化石,一块尚待切解的帝王绿原石，表面显露浓翠色泽，内里仍待探明--化石周活动专属,icon_cp_hs_06_005_hd
505606,至尊玉龙奖杯,2×2（4格）,9980000,红品,化石,一座象征收藏成就的至尊玉龙奖杯，温润玉璧上盘绕着威严龙纹，化石周活动结算排行第1获得--化石周活动专属,icon_cp_hs_06_006_hd
505607,玄玉凤凰奖杯,2×2（4格）,7980000,红品,化石,一座象征收藏成就的玄玉凤凰奖杯，深色玉璧上雕有舒展凤纹，化石周活动结算排行前3获得--化石周活动专属,icon_cp_hs_06_007_hd
505608,瑞云吉祥奖杯,2×2（4格）,5980000,红品,化石,一座象征收藏成就的祥云奖杯，温润玉面上浮雕祥瑞云纹，化石周活动结算排行前10获得--化石周活动专属,icon_cp_hs_06_008_hd
505609,赌石纪念如意,1×2（2格）,198000,红品,化石,一柄温润通透的翡翠如意，如意头部雕有细腻纹饰，化石周活动参与奖励--化石周活动专属,icon_cp_hs_06_009_hd
505610,月球岩样标本,4×4（16格）,656700,红品,化石,月球岩样密封标本，灰白岩体留存月面痕迹--登月计划活动专属,icon_cp_hs_06_010_hd
506601,暂无名称,1×1（1格）,99999,红品,茗酿,阿巴阿巴,icon_cp_mn_06_001_hd
506602,暂无名称,1×1（1格）,99999,红品,茗酿,阿巴阿巴,icon_cp_mn_06_002_hd
506603,暂无名称,1×1（1格）,99999,红品,茗酿,阿巴阿巴,icon_cp_mn_06_003_hd
506604,暂无名称,1×1（1格）,99999,红品,茗酿,阿巴阿巴,icon_cp_mn_06_004_hd
506605,暂无名称,1×1（1格）,99999,红品,茗酿,阿巴阿巴,icon_cp_mn_06_005_hd
601601,百代唱片,3×3（9格）,354100,红品,古董,"百代唱片，1908年上海建厂，中国最早的唱片工业实物——当年""百代""就是唱片的同义词——S1赛季专属",icon_cp_gd_06_001_S1
602601,卡纹Love手镯,1×1（1格）,231500,红品,珠宝,卡纹手镯，1969年诞生，椭圆造型以螺丝锁扣闭合——戴上它需要一把小螺丝刀——S1赛季专属,icon_cp_zb_06_001_S1
603601,盛典奖杯,2×3（6格）,525500,红品,奢品,盛典水晶奖杯，经典多棱切割造型，底座刻2036——S1赛季专属,icon_cp_sp_06_001_S1
701601,百代唱片,3×3（9格）,354100,红品,古董,"百代唱片，1908年上海建厂，中国最早的唱片工业实物——当年""百代""就是唱片的同义词——S1赛季专属",icon_cp_gd_06_001_S1
702601,卡纹Love手镯,1×1（1格）,231500,红品,珠宝,卡纹手镯，1969年诞生，椭圆造型以螺丝锁扣闭合——戴上它需要一把小螺丝刀——S1赛季专属,icon_cp_zb_06_001_S1
703601,盛典奖杯,2×3（6格）,525500,红品,奢品,盛典水晶奖杯，经典多棱切割造型，底座刻2036——S1赛季专属,icon_cp_sp_06_001_S1
802605,非洲之心,1×1（1格）,13145200,红品,珠宝,库里南钻石切割品，3106克拉原石为迄今最大宝石级钻石,icon_cp_zb_06_005
802625,江山永固·金杯,2×2（4格）,20260000,红品,珠宝,乾隆金瓯永固杯嵌宝鎏金，元旦开笔御用乾隆亲自审定设计,icon_cp_zb_06_025
900001,霸王龙化石仿品,3×2（6格）,22888,橙品,化石,白垩纪霸王龙骨架残件，牙齿锋利，博物馆级别,icon_cp_hs_05_001
901101,残陶碗,2×2（4格）,285,白品,古董,民窑破碗，底足无款，市井旧物,icon_cp_gd_01_001
901102,碎瓷片,2×2（4格）,689,白品,古董,碎青花瓷片，发色杂乱，垫桌角尚可,icon_cp_gd_01_002
901103,旧铜烟嘴,2×1（2格）,227,白品,古董,铜皮木杆烟嘴，旧物一枚，无收藏溢价,icon_cp_gd_01_003
901104,旧铜锁,2×2（4格）,414,白品,古董,老铜锁簧片锈死，钥匙早已丢失,icon_cp_gd_01_004
901105,小木摆件,2×1（2格）,418,白品,古董,杂木小雕件，刀法简拙，市井摆件,icon_cp_gd_01_005
901106,窗花剪纸,1×1（1格）,147,白品,古董,旧窗花剪纸，红色鲜艳，节庆装饰,icon_cp_gd_01_006
901107,粗陶泥偶,1×2（2格）,205,白品,古董,手工粗陶泥偶，指痕尚在，拙朴无华,icon_cp_gd_01_007
901108,草编鲤鱼,2×2（4格）,373,白品,古董,草编鲤鱼，稻草泛黄，民俗小物件,icon_cp_gd_01_008
901109,贝币串,1×1（1格）,151,白品,古董,仿古贝币串，打磨光润，年代不可考,icon_cp_gd_01_009
901110,骨针筒,2×1（2格）,197,白品,古董,骨制针筒，简刻线纹，旧时女红之物,icon_cp_gd_01_010
901111,粗陶碟,2×1（2格）,240,白品,古董,粗陶扁碟，釉面有缩釉点，边缘已磕碰,icon_cp_gd_01_011
901112,铁门扣,1×1（1格）,106,白品,古董,铁门扣锈迹斑斑，五金旧件，已报废,icon_cp_gd_01_012
901113,竹簸箕,2×1（2格）,236,白品,古董,竹编簸箕，篾条泛黑，农家筛粮旧具,icon_cp_gd_01_013
901201,民国小瓷杯,2×2（4格）,818,绿品,古董,民国薄胎搪瓷杯，彩绘花卉，旧器一枚,icon_cp_gd_02_001
901202,民国小砚台,2×2（4格）,844,绿品,古董,民国端石小砚，磨痕深陷，入门文房件,icon_cp_gd_02_002
901203,清代小铜件,2×2（4格）,1654,绿品,古董,清铜杂件，包浆自然，无名匠之作,icon_cp_gd_02_003
901204,木雕小摆件,1×2（2格）,476,绿品,古董,民间木雕人物，有年头无稀缺，刀法简拙,icon_cp_gd_02_004
901205,民俗小银饰,1×2（2格）,1004,绿品,古董,民俗银饰，錾刻花纹，银质光亮,icon_cp_gd_02_005
901206,木梭子,2×1（2格）,451,绿品,古董,织布木梭，梭身磨光，老式手工纺织遗物,icon_cp_gd_02_006
901207,竹节笔,1×1（1格）,266,绿品,古董,天然竹根毛笔，文房常物，朴素实用,icon_cp_gd_02_007
901208,玛瑙棋,1×1（1格）,294,绿品,古董,玛瑙棋子，质地浑浊，打磨粗糙,icon_cp_gd_02_008
901209,锡制酒壶,1×1（1格）,342,绿品,古董,锡酒壶，民间常见旧酒器,icon_cp_gd_02_009
901210,陶埙,1×1（1格）,358,绿品,古董,陶埙，葫芦造型，多孔，吹孔已有磨损,icon_cp_gd_02_010
901211,棕编提篮,2×2（4格）,1010,绿品,古董,棕编提篮，纹理紧密，把手已磨得光亮,icon_cp_gd_02_011
901212,铜鞋拔,2×1（2格）,553,绿品,古董,铜质鞋拔，包浆温润，背面铸有字号,icon_cp_gd_02_012
901213,竹刻书签,1×1（1格）,330,绿品,古董,竹刻书签，花卉纹饰，文房小雅物,icon_cp_gd_02_013
901301,檀香折扇,2×2（4格）,2246,蓝品,古董,檀木折扇，骨薄匀称，闭合时有幽香,icon_cp_gd_03_001
901302,青花小杯,1×1（1格）,970,蓝品,古董,清青花小杯，发色灰蓝，绘莲花小品,icon_cp_gd_03_002
901303,瓷板画小件,3×2（6格）,3529,蓝品,古董,粉彩瓷板画，绘牡丹小品，镶木框可立,icon_cp_gd_03_003
901304,红木小件,2×1（2格）,3011,蓝品,古董,红木小雕件，材质上佳，打磨光滑,icon_cp_gd_03_004
901305,清代小银壶,2×2（4格）,3107,蓝品,古董,清银质小壶，锤目纹饰面，壶嘴线条流畅,icon_cp_gd_03_005
901306,掐丝小摆件,1×2（2格）,1475,蓝品,古董,景泰蓝小摆件，掐丝勾整，五彩花卉纹饰,icon_cp_gd_03_006
901307,石狮子,4×4（16格）,12810,蓝品,古董,镇宅石狮，蹲坐粗雕，威严古朴,icon_cp_gd_03_007
901308,骨笛,1×2（2格）,1782,蓝品,古董,兽骨多孔笛，音色苍凉，吹口已有裂,icon_cp_gd_03_008
901309,琉璃盏,2×2（4格）,2794,蓝品,古董,手工琉璃盏，色彩斑斓，透光流光溢彩,icon_cp_gd_03_009
901310,银烛台,2×3（6格）,3145,蓝品,古董,银烛台，錾刻纹饰，民间实用照明器,icon_cp_gd_03_010
901311,银制酒壶,1×1（1格）,845,蓝品,古董,民国银酒壶，刻团花纹，包浆自然精细,icon_cp_gd_03_011
901312,铜兽钮印,3×2（6格）,4019,蓝品,古董,铜兽钮小印，雕工精细，篆书二字清晰,icon_cp_gd_03_012
901313,瓷水注,1×2（2格）,1428,蓝品,古董,旧瓷水注，瘦高壶型，注嘴细长，青白釉色,icon_cp_gd_03_013
901314,木雕如意,2×2（4格）,2350,蓝品,古董,老木雕如意，木质温润，雕工繁复有序,icon_cp_gd_03_014
901401,雍正青花赏瓶,3×3（9格）,33150,紫品,古董,雍正官窑青花，发色翠蓝胎轻薄，宫廷陈设器,icon_cp_gd_04_001
901402,汉白玉石狮,2×2（4格）,8408,紫品,古董,汉代石狮蹲坐镇宅，汉白玉质，风化无损真品相,icon_cp_gd_04_002
901403,建窑兔毫盏,2×2（4格）,10050,紫品,古董,宋建窑兔毫盏，斗茶名器，黑釉银毫定胜负,icon_cp_gd_04_003
901404,海兽葡萄镜,5×2（10格）,14280,紫品,古董,唐青铜海兽葡萄镜，高浮雕工艺，传世极少上过脸,icon_cp_gd_04_004
901405,和田玉瑞兽,2×2（4格）,9231,紫品,古董,和田白玉圆雕瑞兽，留桂花黄皮，古人随身护符,icon_cp_gd_04_005
901406,端石老坑砚,2×2（4格）,18640,紫品,古董,端砚老坑石，呵气可成墨，文房传家之物,icon_cp_gd_04_006
901407,实木佛龛,1×1（1格）,3662,紫品,古董,实木精雕佛龛，歇山顶微缩庙宇，匠心数月之功,icon_cp_gd_04_007
901408,景泰蓝小炉,1×1（1格）,3461,紫品,古董,明景泰蓝小香炉，铜胎掐丝珐琅，麻雀虽小五脏俱全,icon_cp_gd_04_008
901409,古旧围屏,2×3（6格）,13330,紫品,古董,六扇硬木围屏，绢本绘山水，传家三代的老家具,icon_cp_gd_04_009
901410,北魏佛造像,2×2（4格）,9688,紫品,古董,北魏砂岩佛造像，褒衣博带，笑容越自然越贵,icon_cp_gd_04_010
901411,青花缠枝盘,2×1（2格）,6021,紫品,古董,明青花缠枝莲盘，发色浓郁一笔千色，三圈层叠纹饰,icon_cp_gd_04_011
901412,掐丝珐琅盒,4×3（12格）,23060,紫品,古董,铜胎掐丝珐琅小盒，反复填釉烧制，盖合吸附有精度,icon_cp_gd_04_012
901413,竹黄笔筒,1×2（2格）,6182,紫品,古董,竹黄贴雕笔筒，簧片不足一毫米，嘉定派竹刻精品,icon_cp_gd_04_013
901501,错金铜博山炉,3×2（6格）,45500,橙品,古董,西汉错金铜博山炉，炉盖铸成层叠仙山，点燃香料烟气从山间溢出如云雾,icon_cp_gd_05_001
901502,商代青铜鼎,2×3（6格）,50880,橙品,古董,商青铜礼器，双立耳三柱足，问鼎中原的源头,icon_cp_gd_05_002
901503,永乐青花罐,3×3（9格）,130000,橙品,古董,永乐青花铁锈斑深入胎骨，后世仿品浮于面，一摸便知,icon_cp_gd_05_003
901504,龙泉青瓷梅瓶,3×3（9格）,75320,橙品,古董,龙泉粉青釉梅瓶，宋瓷巅峰色，青如天明如镜,icon_cp_gd_05_004
901505,乾隆青花赏瓶,1×3（3格）,27670,橙品,古董,乾隆官窑青花，有瑕疵当场砸碎，传世件件完美,icon_cp_gd_05_005
901506,曾侯乙编钟,6×1（6格）,102700,橙品,古董,战国青铜编钟，五度音域齐备，出土仍能奏今曲,icon_cp_gd_05_006
901507,白玉如意杯,1×1（1格）,11960,橙品,古董,整块和田白玉雕琢，清宫选料极严，次品不入宫,icon_cp_gd_05_007
901508,唐三彩马,3×3（9格）,62450,橙品,古董,唐三彩釉马，黄绿白三色写实，随葬明器今成拍场宠儿,icon_cp_gd_05_008
901509,汝窑天青盏,1×1（1格）,11830,橙品,古董,汝窑天青釉，开片如冰裂，存世不足百件谜题未解,icon_cp_gd_05_009
901510,岭南青铜鼓,2×2（4格）,73110,橙品,古董,岭南青铜鼓，太阳纹鼓面羽人舞纹，集权集兵的战神之音,icon_cp_gd_05_010
901511,沪上老座钟,2×3（6格）,46970,橙品,古董,老上海红木座钟，德法机芯配中式外壳，外滩百年钟声,icon_cp_gd_05_011
901512,良渚玉笛,1×4（4格）,38390,橙品,古董,良渚玉笛，五千年前透闪石磨制，祭天礼器或无解的乐声,icon_cp_gd_05_012
901513,错金银云纹樽,2×2（4格）,38020,橙品,古董,战国错金银青铜樽，金银丝比发细，嵌入后拔不出,icon_cp_gd_05_013
901514,鎏金银香囊,1×2（2格）,17200,橙品,古董,唐鎏金银香囊，内置平衡环似陀螺仪，千年前的便携熏香,icon_cp_gd_05_014
901515,定窑孩儿枕,2×1（2格）,19780,橙品,古董,宋定窑白瓷孩儿枕，娃娃侧卧背为枕，夏日消暑象生瓷,icon_cp_gd_05_015
901516,广彩人物盘,2×1（2格）,20000,橙品,古董,广州十三行外销瓷巅峰，一器十二色金彩铺面，羊城海上丝路遗珍——羊城拾光专属,icon_cp_gd_05_016
901517,官窑琮式瓶,2×2（4格）,42410,橙品,古董,南宋杭州官窑，仿良渚玉琮形制，粉青釉方瓶烧制极难——钱塘雅集专属,icon_cp_gd_05_017
901518,成化鸡缸杯,1×1（1格）,11290,橙品,古董,明成化斗彩鸡缸杯，胎薄透光，2.8亿成交创纪录，沪上藏家旧藏——沪上风云专属,icon_cp_gd_05_018
901519,百鹿尊,2×2（4格）,36920,橙品,古董,乾隆粉彩百鹿尊，紫禁城旧陈设，福禄双全的皇家御瓷——燕京御藏专属,icon_cp_gd_05_019
901520,珐琅彩锦鸡瓶,1×2（2格）,19570,橙品,古董,乾隆珐琅彩锦鸡瓶，御用画师绘制，不满意即碎，香江拍场重器——香江竞逐专属,icon_cp_gd_05_020
901521,罗塞塔碑,2×2（4格）,35100,橙品,古董,古埃及玄武岩石碑，三种文字并列刻写，放进霓城之巅也稳稳压得住整场气口——霓城之巅专属,icon_cp_gd_05_021
